Company,Domain,Company LinkedIn URL,Employee Count,Industry,Location,Headquarters,Funding Stage,Estimated Revenue,Technologies,Description,Status,Signal,Score,Found With
Luma,luma.com,https://www.linkedin.com/company/lumalabs,,,"San Francisco, USA",,,,,,Enriching,,,
ElevenLabs,elevenlabs.io,https://www.linkedin.com/company/elevenlabsio,,AI audio / voice,"London, UK",London,,,,London-based ai audio / voice.,Qualified,,,Find People — UK GTM SaaS
Notion Capital,notioncapital.com,https://www.linkedin.com/company/notion-capital,,VC — B2B SaaS,"London, UK",London,,,,,New,,,Warsaw sponsor lookalikes
Episode 1 Ventures,episode1.com,https://www.linkedin.com/company/episode-1-ventures,5,VC — seed B2B,"London, UK",London,Growth,,,London-HQ'd vc — seed b2b.,To research,,,Webset — events budget
LocalGlobe,localglobe.vc,https://www.linkedin.com/company/localglobe,30,VC — seed,"London, UK",London,,,,London-HQ'd vc — seed.,To research,,,Warsaw sponsor lookalikes
Seedcamp,seedcamp.com,https://www.linkedin.com/company/seedcamp,30,VC — pre-seed/seed,"London, UK",London,Bootstrapped,,,London-HQ'd vc — pre-seed/seed.,Enriching,,,LinkedIn Sales Nav
Balderton Capital,balderton.com,https://www.linkedin.com/company/balderton-capital,,VC — early/growth,"London, UK",,,,,,To research,,,
Hoxton Ventures,hoxton.ventures,https://www.linkedin.com/company/hoxton-ventures,,VC — seed,"London, UK",,,,,,To research,,,Webset — events budget
Point Nine,pointnine.com,https://www.linkedin.com/company/point-nine-capital,,,"Berlin, Germany",,,,,,New,,,Webset — events budget
Index Ventures,indexventures.com,https://www.linkedin.com/company/index-ventures,,,"London, UK",,,,,,New,,,
Octopus Ventures,octopusventures.com,https://www.linkedin.com/company/octopus-ventures,140,VC — early/growth,"London, UK",London,Series C,,,London-HQ'd vc — early/growth.,Qualified,,,Warsaw sponsor lookalikes
Atomico,atomico.com,https://www.linkedin.com/company/atomico,140,VC — growth/B2B,"London, UK",London,,,,London-HQ'd vc — growth/b2b.,New,,,LinkedIn Sales Nav
Dawn Capital,dawncapital.com,https://www.linkedin.com/company/dawn-capital,30,VC — B2B SaaS,"London, UK",London,,,,London-HQ'd vc — b2b saas.,Qualified,,,Webset — events budget
Frontline Ventures,frontline.vc,https://www.linkedin.com/company/frontline-ventures,30,VC — B2B SaaS,"Dublin, Ireland",Dublin,Growth,,,Dublin-based vc — b2b saas.,To research,,,Warsaw sponsor lookalikes
MMC Ventures,mmc.vc,https://www.linkedin.com/company/mmc-ventures,,,"London, UK",,,,,,Enriching,,,
Eight Roads,eightroads.com,https://www.linkedin.com/company/eight-roads,140,VC — growth,"London, UK",London,Series B,,,London-HQ'd vc — growth.,Enriching,,,
83North,83north.com,https://www.linkedin.com/company/83north,30,VC — early/growth,"London, UK",London,,,,London-HQ'd vc — early/growth.,To research,,,
Accel,accel.com,https://www.linkedin.com/company/accel,,VC — multi-stage,"London, UK",,,,,,Enriching,,,Find People — UK GTM SaaS
Northzone,northzone.com,https://www.linkedin.com/company/northzone,,VC — multi-stage,"Stockholm, Sweden",Stockholm,,,,,Qualified,,,Find People — UK GTM SaaS
Project A,project-a.vc,https://www.linkedin.com/company/project-a-ventures,,VC — operator-led,"Berlin, Germany",,,,,,To research,,,Warsaw sponsor lookalikes
Felix Capital,felixcap.com,https://www.linkedin.com/company/felix-capital,30,VC — consumer/enterprise,"London, UK",London,Series A,,,London-HQ'd vc — consumer/enterprise.,Qualified,,,LinkedIn Sales Nav
