Date,Data source,Account name,Campaign name,Clicks,Impressions,Cost,Currency,Conversions,CPC,CTR,Conversion rate
2026-05-25,Meta Ads,GTM Week London,Ticket - Early Bird Meta Ads,364,23133,1358.35,GBP,10,3.73,1.57,2.75
2026-05-25,Google Ads,GTMTechWeek-London,Lookalike - TransmissionLtd,206,24398,1347.76,GBP,3,6.54,0.84,1.46
2026-05-25,Google Ads,GTM Week London,Ticket - Early Bird Google Ads,91,4047,565.59,GBP,2,6.22,2.25,2.2
2026-05-25,Email Newsletter,GTM Tech Week,Warsaw alumni reactivation,924,84560,4764.1,GBP,21,5.16,1.09,2.27
2026-06-01,LinkedIn Ads,GTMTechWeek-London,Lookalike - Salesloft(UK),691,61781,4189.02,GBP,47,6.06,1.12,6.8
2026-06-01,LinkedIn Ads,GTM Week London,Ticket - Early Bird LinkedIn Ads,853,75385,3404,GBP,50,3.99,1.13,5.86
2026-06-01,LinkedIn Ads,GTM Tech Week,ABM - brand24.com,2136,89235,6857.19,GBP,103,3.21,2.39,4.82
2026-06-01,Meta Ads,GTM Tech Week,Sponsor Retargeting - Transmission Ltd ,57,7667,336.53,GBP,3,5.9,0.74,5.26
2026-06-01,Meta Ads,GTM Week London,Sponsor Retargeting - Livespace Ltd ,293,65364,1257.12,GBP,3,4.29,0.45,1.02
2026-06-01,Google Ads,GTM Tech Week,Lookalike - CMS,1387,61323,5095.19,GBP,28,3.67,2.26,2.02
2026-06-01,Google Ads,GTM Tech Week,Lookalike - TransmissionLtd,421,24256,2461.93,GBP,7,5.85,1.74,1.66
2026-06-01,Email Newsletter,GTM Tech Week,Warsaw alumni reactivation,226,21134,1645.71,GBP,4,7.28,1.07,1.77
2026-06-08,LinkedIn Ads,GTM Week London,Sponsor Retargeting - Gravity Global (UK) ,1623,71867,7306.13,GBP,45,4.5,2.26,2.77
2026-06-08,LinkedIn Ads,GTMTechWeek-London,ABM - showpad.com,158,28911,797.49,GBP,2,5.05,0.55,1.27
2026-06-08,LinkedIn Ads,GTM Tech Week,Sponsor Retargeting - Six & Flow Ltd ,503,26929,2490.4,GBP,33,4.95,1.87,6.56
2026-06-08,Meta Ads,GTM Week London,Sponsor Retargeting - Transmission Ltd ,1118,83668,5305.07,GBP,42,4.75,1.34,3.76
2026-06-08,Meta Ads,GTM Week London,ABM - 83north.com,25,5071,167.44,GBP,0,6.7,0.49,0
2026-06-08,Google Ads,GTM Week London,Sponsor Retargeting - Six & Flow Ltd ,490,28837,1829.71,GBP,9,3.73,1.7,1.84
2026-06-08,Google Ads,GTMTechWeek-London,Sponsor Retargeting - polyai ,380,19031,2399.69,GBP,21,6.31,2,5.53
2026-06-08,Email Newsletter,GTM Tech Week,Speaker promo - Daniel Disney,442,19305,2248.1,GBP,20,5.09,2.29,4.52
2026-06-15,LinkedIn Ads,GTM Tech Week,Ticket - Early Bird LinkedIn Ads,360,40767,1715.41,GBP,24,4.77,0.88,6.67
2026-06-15,LinkedIn Ads,GTMTechWeek-London,Ticket - Early Bird LinkedIn Ads,644,45977,1995.43,GBP,9,3.1,1.4,1.4
2026-06-15,LinkedIn Ads,GTM Week London,Lookalike - CMS,428,39005,1219.38,GBP,8,2.85,1.1,1.87
2026-06-15,Meta Ads,GTM Week London,Lookalike - CremarcLtd,314,21737,2165.51,GBP,7,6.9,1.44,2.23
2026-06-15,Meta Ads,GTM Week London,Ticket - Early Bird Meta Ads,235,20947,1520.82,GBP,7,6.47,1.12,2.98
2026-06-15,Google Ads,GTMTechWeek-London,Lookalike - IndexVenturesLtd,726,32346,5093.72,GBP,24,7.02,2.24,3.31
2026-06-15,Google Ads,GTM Week London,Sponsor Retargeting - Showpad Ltd ,1381,71373,3397.94,GBP,70,2.46,1.93,5.07
2026-06-15,Email Newsletter,GTM Tech Week,Early Bird launch,86,10037,641.85,GBP,2,7.46,0.86,2.33
